"wavenumber k","h h N=63.2","nt_h h N=63.2"
9.7369164374550981e-05,4.2712366576316618e-16,-1.9692106056673885e-04
1.0225176900730565e-04,4.2711978582319387e-16,-1.8544256085785001e-04
1.0737921324768076e-04,4.2711599140003795e-16,-1.7393962231103050e-04
1.1276377464791918e-04,4.2711226573498939e-16,-1.7543164687831684e-04
1.1841834642163708e-04,4.2710861011571584e-16,-1.7839367555670189e-04
1.2435646831633984e-04,4.2710502481648256e-16,-1.6809944611104413e-04
1.3059235903404909e-04,4.2710151050121939e-16,-1.6625119457652071e-04
1.3714095027767142e-04,4.2709806711991556e-16,-1.6055842134021596e-04
1.4401792250463190e-04,4.2709480820287711e-16,-1.5653150893762049e-04
1.5123974247338378e-04,4.2709150705252534e-16,-1.5596047144403948e-04
1.5882370267269891e-04,4.2708829164118051e-16,-1.5315536881931467e-04
1.6678796272815084e-04,4.2708511497082649e-16,-1.4999011484343879e-04
1.7515159288493821e-04,4.2708202374248448e-16,-1.4629545158967379e-04
1.8393461967116661e-04,4.2707900020485733e-16,-1.4299511122678772e-04
1.9315807385092884e-04,4.2707604436628422e-16,-1.4010774813756345e-04
2.0284404078200593e-04,4.2707315518842734e-16,-1.3666348364767053e-04
2.1301571329876998e-04,4.2707033017866614e-16,-1.3081578567276266e-04
2.2369744724691458e-04,4.2706768626230626e-16,-1.2736992133626591e-04
2.3491481980299092e-04,4.2706499108729504e-16,-1.2753416739256243e-04
2.4669469071839339e-04,4.2706235834442778e-16,-1.2478415190089496e-04
2.5906526663444207e-04,4.2705978710280037e-16,-1.2153196129772842e-04
2.7205616862256422e-04,4.2705727652946564e-16,-1.1866069913738758e-04
2.8569850311129685e-04,4.2705482584286753e-16,-1.1614788183228613e-04
3.0002493636994450e-04,4.2705243301542220e-16,-1.1306205324512173e-04
3.1506977272724088e-04,4.2705009838972884e-16,-1.0757851878819585e-04
3.3086903671230867e-04,4.2704793541421847e-16,-1.0450330235929186e-04
3.4746055931460007e-04,4.2704571531436624e-16,-1.0497654298243203e-04
3.6488406856936785e-04,4.2704355051961867e-16,-1.0255411935141080e-04
3.8318128468557000e-04,4.2704144142956941e-16,-9.9557269723817360e-05
4.0239601994399065e-04,4.2703938727252707e-16,-9.6736547311917958e-05
4.2257428360478142e-04,4.2703739670089224e-16,-9.4410006521937435e-05
4.4376439207562048e-04,4.2703545156995243e-16,-9.1721113486965551e-05
4.6601708460428603e-04,4.2703356061977736e-16,-8.6439574982061777e-05
4.8938564477266750e-04,4.2703183863482697e-16,-8.3723835212175162e-05
5.1392602808312735e-04,4.2703004624438449e-16,-8.4372926530051966e-05
5.3969699594271924e-04,4.2702831723587065e-16,-8.1695497911653120e-05
