"wavenumber k","h h N=6.64","dot(h) dot(h) N=6.64","h h N=63.2","dot(h) dot(h) N=63.2"
1.5680387003676484e-04,8.0513019580256716e-16,1.1228130163751970e-16,5.5540841750291639e-16,5.5217183476509091e-115
1.6466684500623550e-04,8.3080238048871489e-16,1.3655430503865397e-16,5.5540832865364142e-16,6.7153975874630372e-115
1.7292411110739840e-04,8.5911320570002510e-16,1.6607478312239132e-16,5.5540781992094074e-16,8.1671189701833704e-115
1.8159544018197184e-04,8.9033454447551713e-16,2.0197712000339060e-16,5.5540733300580210e-16,9.9326710033982273e-115
1.9070159553633950e-04,9.2476560612324942e-16,2.4564099836825443e-16,5.5540686684813116e-16,1.2079897122736501e-114
2.0026438165882983e-04,9.6273636209814854e-16,2.9874437899749495e-16,5.5540642047672643e-16,1.4691307066172236e-114
2.1030669643008320e-04,1.0046107095477068e-15,3.6332798770451224e-16,5.5540599300774354e-16,1.7867247486878767e-114
2.2085258595152225e-04,1.0507899604966645e-15,4.4187374399859057e-16,5.5540558363875690e-16,2.1729757549237112e-114
2.3192730212321194e-04,1.1017166902845004e-15,5.3740014527490993e-16,5.5540519164722880e-16,2.6427259291669415e-114
2.4355736310897777e-04,1.1578789823391936e-15,6.5357827158720912e-16,5.5540481638649013e-16,3.2140259713706771e-114
2.5577061683356469e-04,1.2198151102236855e-15,7.9487286797429869e-16,5.5540445728233740e-16,3.9088288091444517e-114
2.6859630766387941e-04,1.2881187021216248e-15,9.6671392416892869e-16,5.5540411382914056e-16,4.7538331124002758e-114
2.8206514643398209e-04,1.3634444375874560e-15,1.1757053421930463e-15,5.5540378558700237e-16,5.7815092413597910e-114
2.9620938398150222e-04,1.4465143315110293e-15,1.4298787057006650e-15,5.5540347217523807e-16,7.0313469593648932e-114
3.1106288837155836e-04,1.5381248777626380e-15,1.7390002181423868e-15,5.5540362102380858e-16,8.5513797352535488e-114
3.2666122599309366e-04,1.6391537215536877e-15,2.1149524190476912e-15,5.5540333629538731e-16,1.0400004305719914e-113
3.4304174672181083e-04,1.7505697122091551e-15,2.5721814346601880e-15,5.5540306556135801e-16,1.2648262108568830e-113
3.6024367335362590e-04,1.8734410364735722e-15,3.1282578406693296e-15,5.5540280862758624e-16,1.5382545395721898e-113
3.7830819552278909e-04,2.0089457891016101e-15,3.8045502129860790e-15,5.5540256533018675e-16,1.8707922608432927e-113
