"wavenumber k","h h N=63.2","nt_h h N=63.2"
1.5680387003676484e-04,5.5546140369481928e-16,-2.6084181567724556e-05
1.6466684500623550e-04,5.5546076735687176e-16,-2.1155349001670076e-05
1.7292411110739840e-04,5.5546024900759722e-16,-1.7897005676763013e-05
1.8159544018197184e-04,5.5545975790598973e-16,-1.7517795880061100e-05
1.9070159553633950e-04,5.5545928092518977e-16,-1.7564323327282638e-05
2.0026438165882983e-04,5.5545883319830310e-16,-1.6053779420705843e-05
2.1030669643008320e-04,5.5545839754230281e-16,-1.5585121322266893e-05
2.2085258595152225e-04,5.5545798457032455e-16,-1.4839722583721590e-05
2.3192730212321194e-04,5.5545759208906894e-16,-1.4182089648671550e-05
2.4355736310897777e-04,5.5545721258200097e-16,-1.3622419821523067e-05
2.5577061683356469e-04,5.5545685234284582e-16,-1.2972768883539411e-05
2.6859630766387941e-04,5.5545650856467734e-16,-1.2188743672894364e-05
2.8206514643398209e-04,5.5545618078621601e-16,-1.1809049335092879e-05
2.9620938398150222e-04,5.5545586860849296e-16,-1.2965577963060441e-05
3.1106288837155836e-04,5.5545547733183121e-16,-1.2619219957972332e-05
3.2666122599309366e-04,5.5545519543734866e-16,-1.0064186518924257e-05
3.4304174672181083e-04,5.5545492823247972e-16,-9.3985033745649740e-06
3.6024367335362590e-04,5.5545467550823294e-16,-9.0622626756563547e-06
3.7830819552278909e-04,5.5545443706817594e-16,-8.5229005584976885e-06
3.9727856832955631e-04,5.5545421277971964e-16,-7.9897703644835751e-06
4.1720021591357332e-04,5.5545400249971981e-16,-7.4776553380690789e-06
4.3812084022097744e-04,5.5545380609532527e-16,-6.9834792107324183e-06
4.6009053522565613e-04,5.5545362343592067e-16,-6.4882341974719128e-06
4.8316190687816373e-04,5.5545345436925892e-16,-5.8248732994030400e-06
5.0739019906951047e-04,5.5545329870803603e-16,-5.5180384600717264e-06
5.3283342591144297e-04,5.5545315625549925e-16,-6.6444283570154589e-06
5.5955251064995510e-04,5.5545293874300196e-16,-6.3699143824041064e-06
5.8761143154465931e-04,5.5545282188573992e-16,-4.0380502351938642e-06
6.1707737506331846e-04,5.5545271728037046e-16,-3.4742718849013354e-06
