"wavenumber k","cal(P)_zeta N=67.6"
4.1081837813361569e-02,2.7296095914516307e-12
4.3141898335787306e-02,2.7056811478921791e-12
4.5305261183083152e-02,2.6825337377903210e-12
4.7577106479914082e-02,2.6601565838605025e-12
4.9962874109779933e-02,2.6385371647249924e-12
5.2468276740696519e-02,2.6176658295211197e-12
5.5099313504053359e-02,2.5975304725430086e-12
5.7862284359401557e-02,2.5781219958867150e-12
6.0763805179568142e-02,2.5594303530265064e-12
6.3810823592217736e-02,2.5414469011698819e-12
6.7010635615793901e-02,2.5241627014446543e-12
7.0370903129674561e-02,2.5075685094382317e-12
7.3899672220373289e-02,2.4916578630708167e-12
7.7605392447716151e-02,2.4764221320925092e-12
8.1496937077126561e-02,2.4618550155715867e-12
8.5583624326463728e-02,2.4479490206277048e-12
8.9875239678290100e-02,2.4346986958523918e-12
9.4382059310993541e-02,2.4220972995807685e-12
9.9114874704870196e-02,2.4101401932391016e-12
1.0408501848208621e-01,2.3988214037270380e-12
1.0930439154239172e-01,2.3881370466548960e-12
1.1478549155956305e-01,2.3780822412874528e-12
1.2054144290680731e-01,2.3686530812521515e-12
1.2658602808278463e-01,2.3598459619987705e-12
1.3293372071349760e-01,2.3516582268470465e-12
1.3959972020906972e-01,2.3440863008356348e-12
1.4659998815839814e-01,2.3371287352779855e-12
1.5395128654882634e-01,2.3307820344558241e-12
1.6167121790235356e-01,2.3250458217843973e-12
1.6977826742448576e-01,2.3199182110494615e-12
1.7829184726665312e-01,2.3153982543418381e-12
1.8723234300817840e-01,2.3114858589119049e-12
1.9662116246909778e-01,2.3081801659313908e-12
2.0648078697071406e-01,2.3054820287051398e-12
2.1683482516662508e-01,2.3033913381420916e-12
2.2770806957312445e-01,2.3019097061999635e-12
2.3912655593433582e-01,2.3010378271844015e-12
2.5111762556422801e-01,2.3007779831398335e-12
2.6370999081478896e-01,2.3011316710057638e-12
2.7693380382711991e-01,2.3021019388618256e-12
2.9082072873007286e-01,2.3036910390365817e-12
3.0540401745930901e-01,2.3059028095601400e-12
3.2071858937832665e-01,2.3087402679397791e-12
3.3680111489210668e-01,2.3122080216843293e-12
3.5369010325358990e-01,2.3163099098504939e-12
3.7142599477323429e-01,2.3210512963062711e-12
3.9005125765244714e-01,2.3264368407259726e-12
4.0961048967275787e-01,2.3324727134417217e-12
4.3015052498422285e-01,2.3391643870401138e-12
4.5172054624876556e-01,2.3465185905489720e-12
4.7437220240697692e-01,2.3545424131290458e-12
4.9815973235036537e-01,2.3632426493644170e-12
5.2314009479518719e-01,2.3726274867811081e-12
5.4937310466883771e-01,2.3827045897814487e-12
5.7692157633537666e-01,2.3934830092547246e-12
6.0585147400313843e-01,2.4049712987050350e-12
6.3623206967457591e-01,2.4171793837803142e-12
6.6813610901654297e-01,2.4301167387472651e-12
7.0163998554819262e-01,2.4437941902990475e-12
7.3682392356357240e-01,2.4582221512324470e-12
7.7377217022693046e-01,2.4734124960307143e-12
8.1257319730069355e-01,2.4893762291305905e-12
8.5331991298915255e-01,2.5061265244282853e-12
8.9610988440510941e-01,2.5236754438400023e-12
9.4104557119218013e-01,2.5420366539238439e-12
9.8823457086215294e-01,2.5612237427108594e-12
1.0377898764348585e+00,2.5812513093236435e-12
1.0898301469974669e+00,2.6021337920546327e-12
1.1444799918310571e+00,2.6238867397080833e-12
1.2018702687847926e+00,2.6465262108661760e-12
1.2621383976121618e+00,2.6700682946390392e-12
1.3254286890195446e+00,2.6945303249368572e-12
1.3918926902150219e+00,2.7199296134391738e-12
1.4616895477848244e+00,2.7462844215349501e-12
1.5349863887663271e+00,2.7736131275128153e-12
1.6119587208300570e+00,2.8019355411589829e-12
1.6927908525289421e+00,2.8312711360934038e-12
1.7776763346210818e+00,2.8616407213065101e-12
1.8668184235227694e+00,2.8930651014598586e-12
1.9604305680015031e+00,2.9255663192979523e-12
2.0587369202743568e+00,2.9591665282863343e-12
2.1619728727355234e+00,2.9938887832236935e-12
2.2703856215982143e+00,3.0297567230494996e-12
2.3842347588005497e+00,3.0667948791284444e-12
2.5037928935927276e+00,3.1050279728270706e-12
2.6293463052938684e+00,3.1444819760727913e-12
2.7611956287815378e+00,3.1851829987845563e-12
2.8996565743553333e+00,3.2271583894989684e-12
3.0450606836982428e+00,3.2704356884110884e-12
3.1977561237458936e+00,3.3150435593210504e-12
3.3581085203646133e+00,3.3610113565470893e-12
3.5265018338345051e+00,3.4083688655947869e-12
3.7033392782338792e+00,3.4571470551205355e-12
3.8890442869264779e+00,3.5073772392485027e-12
4.0840615264633318e+00,3.5590920115133447e-12
4.2888579613270252e+00,3.6123240663348841e-12
4.5039239720678470e+00,3.6671074776059617e-12
4.7297745295092231e+00,3.7234769286019604e-12
4.9669504278339982e+00,3.7814680215251763e-12
5.2160195795041915e+00,3.8411169661896249e-12
5.4775783751148754e+00,3.9024609156787679e-12
