"wavenumber k","cal(P)_zeta N=6.13","cal(P)_zeta N=63.2"
1.5680387003676484e-04,1.5587063179636906e-11,1.1851290409882302e-10
1.6466684500623550e-04,1.6893689320516428e-11,1.1764740553137534e-10
1.7292411110739840e-04,1.8328069939265514e-11,1.1684607597088438e-10
1.8159544018197184e-04,1.9903356577882576e-11,1.1614385052957995e-10
1.9070159553633950e-04,2.1634082589363939e-11,1.1557794701379180e-10
2.0026438165882983e-04,2.3536294854202522e-11,1.1518779136344466e-10
2.1030669643008320e-04,2.5627709453183211e-11,1.1501476197472479e-10
2.2085258595152225e-04,2.7927882827686520e-11,1.1510187089375282e-10
2.3192730212321194e-04,3.0458400355749971e-11,1.1549338275829081e-10
2.4355736310897777e-04,3.3243084052052101e-11,1.1623436997210200e-10
2.5577061683356469e-04,3.6308221369737833e-11,1.1737020833214587e-10
2.6859630766387941e-04,3.9682817331924745e-11,1.1894601540202750e-10
2.8206514643398209e-04,4.3398872424561217e-11,1.2100604201156619e-10
2.9620938398150222e-04,4.7491689024671128e-11,1.2359302341349309e-10
3.1106288837155836e-04,5.2000215588998178e-11,1.2674756566311778e-10
3.2666122599309366e-04,5.6967400827718949e-11,1.3050723194404860e-10
3.4304174672181083e-04,6.2440624839006146e-11,1.3490623274333753e-10
3.6024367335362590e-04,6.8472145431287410e-11,1.3997455400335521e-10
3.7830819552278909e-04,7.5119600791726226e-11,1.4573745094517691e-10
3.9727856832955631e-04,8.2446563452764646e-11,1.5221497074957266e-10
4.1720021591357332e-04,9.0523151772556569e-11,1.5942159668519883e-10
4.3812084022097744e-04,9.9426704381864980e-11,1.6736603871107936e-10
4.6009053522565613e-04,1.0924252338792012e-10,1.7605120242399204e-10
4.8316190687816373e-04,1.2006469213448607e-10,1.8547435584011743e-10
5.0739019906951047e-04,1.3199697357299891e-10,1.9562751700679015e-10
5.3283342591144297e-04,1.4515379573441619e-10,2.0649806660096170e-10
5.5955251064995510e-04,1.5966130772122910e-10,2.1806961216757626e-10
5.8761143154465931e-04,1.7565863848733136e-10,2.3032297342064069e-10
6.1707737506331846e-04,1.9329912199917229e-10,2.4323755791185298e-10
6.4802089675836257e-04,2.1275176154657822e-10,2.5679269683381042e-10
6.8051609021060487e-04,2.3420282199100846e-10,2.7096918621219238e-10
7.1464076444468757e-04,2.5785761565646279e-10,2.8575085250372530e-10
7.5047663024107670e-04,2.8394251386902396e-10,3.0112608343764711e-10
7.8810949579072613e-04,3.1270721444194338e-10,3.1708924562039945e-10
8.2762947216089922e-04,3.4442727780816840e-10,3.3364190632361942e-10
8.6913118906413326e-04,3.7940691373470622e-10,3.5079377468457365e-10
9.1271402144700272e-04,4.1798196536975599e-10,3.6856330192293797e-10
9.5848232744123621e-04,4.6052302208914316e-10,3.8697788045555624e-10
1.0065456982469656e-03,5.0743859693929972e-10,4.0607363250397184e-10
1.0570192205464383e-03,5.5917863089072093e-10,4.2589471429489499e-10
1.1100237520765424e-03,6.1623837695053927e-10,4.4649234503257151e-10
1.1656862110199938e-03,6.7916310897065919e-10,4.6792339672865662e-10
1.2241398799081294e-03,7.4855416042677410e-10,4.9024880526030060e-10
1.2855247247629896e-03,8.2507600491080242e-10,5.1353185480969177e-10
1.3499877302428740e-03,9.0946354338467628e-10,5.3783647219361698e-10
