"wavenumber k","cal(P)_zeta N=63.2"
1.5680387003676484e-04,1.1851593490328308e-10
1.6466684500623550e-04,1.1765039505063263e-10
1.7292411110739840e-04,1.1684910427587959e-10
1.8159544018197184e-04,1.1614690194341918e-10
1.9070159553633950e-04,1.1558100603860552e-10
2.0026438165882983e-04,1.1519084565786576e-10
2.1030669643008320e-04,1.1501779957507036e-10
2.2085258595152225e-04,1.1510488314633597e-10
2.3192730212321194e-04,1.1549636348207275e-10
2.4355736310897777e-04,1.1623731322718758e-10
2.5577061683356469e-04,1.1737311226809693e-10
2.6859630766387941e-04,1.1894887975839713e-10
2.8206514643398209e-04,1.2100886810106244e-10
2.9620938398150222e-04,1.2359581461174048e-10
3.1106288837155836e-04,1.2675028357857524e-10
3.2666122599309366e-04,1.3050992756751142e-10
3.4304174672181083e-04,1.3490891320453784e-10
3.6024367335362590e-04,1.3997722719927688e-10
3.7830819552278909e-04,1.4574012553938030e-10
3.9727856832955631e-04,1.5221765666780218e-10
4.1720021591357332e-04,1.5942430413291066e-10
4.3812084022097744e-04,1.6736877865843793e-10
4.6009053522565613e-04,1.7605398657601106e-10
4.8316190687816373e-04,1.8547719715881694e-10
5.0739019906951047e-04,1.9563042914264136e-10
5.3283342591144297e-04,2.0650106454105634e-10
5.5955251064995510e-04,2.1807267770656798e-10
5.8761143154465931e-04,2.3032615714087495e-10
6.1707737506331846e-04,2.4324087818225832e-10
6.4802089675836257e-04,2.5679617359535944e-10
6.8051609021060487e-04,2.7097284049241724e-10
7.1464076444468757e-04,2.8575470729455202e-10
7.5047663024107670e-04,3.0113016280589007e-10
7.8810949579072613e-04,3.1709357509500251e-10
8.2762947216089922e-04,3.3364651215334324e-10
8.6913118906413326e-04,3.5079868399571506e-10
9.1271402144700272e-04,3.6856854375165245e-10
9.5848232744123621e-04,3.8698348422610988e-10
1.0065456982469656e-03,4.0607957572550324e-10
1.0570192205464383e-03,4.2590107897847496e-10
1.1100237520765424e-03,4.4649916349927823e-10
1.1656862110199938e-03,4.6793070185760661e-10
1.2241398799081294e-03,4.9025663136186148e-10
1.2855247247629896e-03,5.1354023680482236e-10
1.3499877302428740e-03,5.3784544645752929e-10
1.4176832515938674e-03,5.6323526545973128e-10
1.4887733842500752e-03,5.8977046736533116e-10
1.5634283519675666e-03,6.1750863237304352e-10
1.6418269144214104e-03,6.4650359207564737e-10
1.7241567952417753e-03,6.7680529138073202e-10
1.8106151315140256e-03,7.0846000065042303e-10
1.9014089458191290e-03,7.4151110039985828e-10
1.9967556419446648e-03,7.7599961438124176e-10
2.0968835254534012e-03,8.1196536988579023e-10
2.2020323503559353e-03,8.4944793309989189e-10
2.3124538931963879e-03,8.8848752628098465e-10
2.4284125559257898e-03,9.2912580450073591e-10
2.5501859990067263e-03,9.7140644996285955e-10
2.6780658062652007e-03,1.0153755669509461e-09
2.8123581830816744e-03,1.0610818996287866e-09
2.9533846895931043e-03,1.1085768954300072e-09
3.1014830106616061e-03,1.1579146529994324e-09
3.2570077644534152e-03,1.2091517589248415e-09
3.4203313515642712e-03,1.2623473121289335e-09
3.5918448467244348e-03,1.3175624789837958e-09
3.7719589352185169e-03,1.3748605178146360e-09
3.9611048962623387e-03,1.4343065875254591e-09
4.1597356356915111e-03,1.4959676153534561e-09
4.3683267704344780e-03,1.5599122018411807e-09
4.5873777673667683e-03,1.6262105163036863e-09
4.8174131392734300e-03,1.6949342379872083e-09
5.0589837007833267e-03,1.7661564908283146e-09
5.3126678872826303e-03,1.8399518049811478e-09
5.5790731399656132e-03,1.9163960922763778e-09
5.8588373603391947e-03,1.9955665994174449e-09
6.1526304376640422e-03,2.0775419911476302e-09
6.4611558529896508e-03,2.1624022106751316e-09
6.7851523636242089e-03,2.2502285767906714e-09
7.1253957720726928e-03,2.3411037505160106e-09
7.4827007836788693e-03,2.4351117474429515e-09
7.8579229574192895e-03,2.5323379182367229e-09
8.2519607545204089e-03,2.6328689510324363e-09
8.6657576898041752e-03,2.7367928555883062e-09
9.1003045909135178e-03,2.8441989430848547e-09
9.5566419708272583e-03,2.9551778048392397e-09
1.0035862519345538e-02,3.0698212930193426e-09
1.0539113719511458e-02,3.1882225601968452e-09
1.1067600595233935e-02,3.3104758034362202e-09
1.1622588596690910e-02,3.4366765815663271e-09
1.2205406630421892e-02,3.5669215851125837e-09
1.2817450241365404e-02,3.7013086830184882e-09
1.3460184954460571e-02,3.8399369046593443e-09
1.4135149783814298e-02,3.9829064598754074e-09
1.4843960917836636e-02,4.1303187421363664e-09
1.5588315589168298e-02,4.2822763151997203e-09
1.6369996138666864e-02,4.4388829667951206e-09
1.7190874283182618e-02,4.6002436902504040e-09
1.8052915597343351e-02,4.7664647349349867e-09
1.8958184220079482e-02,4.9376538161411804e-09
1.9908847797159228e-02,5.1139193172039533e-09
2.0907182671568648e-02,5.2953715399790069e-09
